INFO 2024-03-23 13:28:28,119 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-23 13:28:28,119 autoreload Waiting for apps ready_event.
DEBUG 2024-03-23 13:28:28,542 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-23 13:28:28,587 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-03-23 13:28:28,596 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\venv\lib\site-packages\drf_yasg\templates with glob **/*.
DEBUG 2024-03-23 13:28:28,596 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\p1\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,597 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\p1\app\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,599 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,599 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,599 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\venv\lib\site-packages\drf_yasg\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,600 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\p1\payments\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,600 autoreload Watching dir D:\utkarsh\tolearn\djangotimezone\p1\account\locale with glob **/*.mo.
DEBUG 2024-03-23 13:28:28,703 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-03-23 13:28:28,717 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-03-23 13:28:29,028 autoreload File D:\utkarsh\tolearn\djangotimezone\venv\Lib\site-packages\googleapiclient\errors.py first seen with mtime 1710396757.7998543
DEBUG 2024-03-23 13:28:29,030 autoreload File D:\utkarsh\tolearn\djangotimezone\venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1708497511.1668828
DEBUG 2024-03-23 13:28:29,031 autoreload File C:\Users\ionxt\AppData\Local\Programs\Python\Python310\Lib\shutil.py first seen with mtime 1680635842.0
DEBUG 2024-03-23 13:28:29,031 autoreload File C:\Users\ionxt\AppData\Local\Programs\Python\Python310\Lib\asyncio\mixins.py first seen with mtime 1680635842.0
